shortnam,lat_abst,avexpr,logpgp95,asia,america,africa,other
AFG,0.366666674613953,NA,NA,1,0,0,0
AGO,0.136666670441628,5.36363649368286,7.77064514160156,0,0,1,0
ARE,0.266666680574417,7.18181800842285,9.80421924591064,1,0,0,0
ARG,0.37777778506279,6.38636350631714,9.13345909118652,0,1,0,0
ARM,0.444444447755814,NA,7.68248224258423,1,0,0,0
AUS,0.300000011920929,9.31818199157715,9.89797210693359,0,0,0,1
AUT,0.524444460868835,9.72727298736572,9.97487735748291,0,0,0,0
AZE,0.447777777910232,NA,7.30653142929077,1,0,0,0
BDI,0.0366666652262211,NA,6.56526517868042,0,0,1,0
BEL,0.561111092567444,9.68181800842285,9.99287128448486,0,0,0,0
BEN,0.103333339095116,NA,7.09007692337036,0,0,1,0
BFA,0.144444450736046,4.45454549789429,6.84588003158569,0,0,1,0
BGD,0.266666680574417,5.13636350631714,6.87729597091675,1,0,0,0
BGR,0.477777779102325,8.90909099578857,8.45744323730469,0,0,0,0
BHR,0.288888901472092,8,9.68595314025879,1,0,0,0
BHS,0.268333315849304,7.5,9.28544807434082,0,1,0,0
BIH,0.488888889551163,NA,NA,0,0,0,0
BLR,0.588888883590698,NA,8.34045600891113,0,0,0,0
BLZ,0.190555557608604,NA,8.37793159484863,0,1,0,0
BOL,0.188888892531395,5.63636350631714,7.92660236358643,0,1,0,0
BRA,0.111111111938953,7.90909099578857,8.72745418548584,0,1,0,0
BRB,0.145555555820465,NA,9.26672077178955,0,0,0,0
BTN,0.303333312273026,NA,NA,0,0,0,0
BWA,0.244444444775581,7.72727251052856,8.85509300231934,0,0,1,0
CAF,0.0777777805924416,NA,7.19293403625488,0,0,1,0
CAN,0.666666686534882,9.72727298736572,9.98644924163818,0,1,0,0
CHE,0.522222220897675,10,10.120210647583,0,0,0,0
CHL,0.333333343267441,7.81818199157715,9.33609199523926,0,1,0,0
CHN,0.388888895511627,7.77272748947144,7.88608121871948,1,0,0,0
CIV,0.0888888910412789,7,7.44424867630005,0,0,1,0
CMR,0.0666666701436043,6.45454549789429,7.50108194351196,0,0,1,0
COG,0.0111111113801599,4.68181800842285,7.420578956604,0,0,1,0
