"","region","turnout","ret"
"1","Altajskij kraj",51.49894,29.5163290615957
"2","Amurskaja oblast'",53.04529,27.7442702050663
"3","Arhangel'skaja oblast'",49.38039,34.5276872964169
"4","Astrahanskaja oblast'",54.94251,24.2334322453017
"5","Belgorodskaja oblast'",74.1993,31.1806914546641
"6","Brjanskaja oblast'",58.99039,31.924882629108
"7","Vladimirskaja oblast'",47.73976,31.5570934256055
"8","Volgogradskaja oblast'",51.24708,28.3033320566833
"9","Vologodskaja oblast'",55.26648,29.6758104738155
"10","Voronezhskaja oblast'",63.40364,31.25
"11","g. Moskva",60.23978,23.1891610213653
"12","g. Sankt-Peterburg",53.68831,28.0057743864714
"13","Evrejskaja avtonomnaja oblast'",50.71618,26.7045454545455
"14","Zabajkal'skij kraj",52.76819,25.1129177958446
"15","Ivanovskaja oblast'",52.35634,30.7909604519774
"16","Irkutskaja oblast'",46.42794,29.8888431453273
"17","Kabardino-Balkarskaja Respublika",98.28935,21.3038416763679
"18","Kaliningradskaja oblast'",53.67765,25.7173219978746
"19","Kaluzhskaja oblast'",56.64706,29.6442687747036
"20","Kamchatskij kraj",52.36433,28.5714285714286
"21","Karachaevo-Cherkesskaja Respublika",92.97857,24.0083507306889
"22","Kemerovskaja oblast'",68.23911,30.3293521534564
"23","Kirovskaja oblast'",53.19734,31.6181953765846
"24","Kostromskaja oblast'",56.54721,31.1844077961019
"25","Krasnodarskij kraj",71.37275,28.1094527363184
"26","Krasnojarskij kraj",48.78389,27.8288543140028
"27","Kurganskaja oblast'",55.7042,31.2843029637761
"28","Kurskaja oblast'",53.90428,33.8065661047028
"29","Leningradskaja oblast'",50.16131,27.2037361354349
"30","Lipetskaja oblast'",55.78457,32.1398124467178
"31","Magadanskaja oblast'",51.78212,29.9363057324841
"32","Moskovskaja oblast'",49.30078,26.4909065275624
"33","Murmanskaja oblast'",50.77242,31.2814070351759
"34","Nizhegorodskaja oblast'",58.11568,30.6042296072508
"35","Novgorodskaja oblast'",55.42958,31.7034700315457
"36","Novosibirskaja oblast'",55.93096,28.0945236309077
"37","Omskaja oblast'",54.54866,27.7693474962064
"38","Orenburgskaja oblast'",50.4767,28.8243974422036
"39","Orlovskaja oblast'",63.47527,33.5451080050826
"40","Penzenskaja oblast'",63.65589,30.8080808080808
"41","Permskij kraj",46.99296,28.9833080424886
"42","Primorskij kraj",47.46385,26.9289729177312
"43","Pskovskaja oblast'",52.11091,31.2035661218425
"44","Respublika Adygeja",64.93618,27.7272727272727
"45","Respublika Altaj",62.75743,26.2135922330097
"46","Respublika Bashkortostan",78.39757,26.3506876227898
"47","Respublika Burjatija",56.0871,25.2826310380267
"48","Respublika Dagestan",90.91716,18.5023505708529
"49","Respublika Ingushetija",85.62555,20.0968523002421
"50","Respublika Kalmykija",62.16732,24.4827586206897
"51","Respublika Karelija",49.2846,36.2790697674419
"52","Respublika Komi",71.55973,32.4833702882483
"53","Respublika Marij El",70.3503,27.7298850574713
"54","Respublika Mordovija",93.63954,29.8203592814371
"55","Respublika Saha (Jakutija)",59.28091,26.0960334029228
"56","Respublika Severnaja Osetija - Alanija",84.67781,29.5932678821879
"57","Respublika Tatarstan",78.69921,27.5752773375594
"58","Respublika Tyva",85.27616,25.3246753246753
"59","Respublika Hakasija",55.30438,27.0676691729323
"60","Rostovskaja oblast'",58.50132,29.0488431876607
"61","Rjazanskaja oblast'",51.83677,33.5355285961872
"62","Samarskaja oblast'",51.86453,28.9800995024876
"63","Saratovskaja oblast'",66.05128,28.588421887391
"64","Sahalinskaja oblast'",48.2801,32.5301204819277
"65","Sverdlovskaja oblast'",49.84145,29.548627268497
"66","Smolenskaja oblast'",48.80049,30.4568527918782
"67","Stavropol'skij kraj",49.81963,25.6640344580043
"68","Tambovskaja oblast'",66.99623,32.1428571428571
"69","Tverskaja oblast'",52.698,31.3884785819793
"70","Tomskaja oblast'",49.48871,26.4818355640535
"71","Tul'skaja oblast'",71.81427,35.4568854568855
"72","Tjumenskaja oblast'",75.14925,23.7702503681885
"73","Udmurtskaja Respublika",55.62189,27.3145108338805
"74","Ul'janovskaja oblast'",59.49054,30.4179566563467
"75","Habarovskij kraj",52.20146,28.4970238095238
"76","Cheljabinskaja oblast'",58.61092,28.7726358148893
"77","Chuvashskaja Respublika",59.81383,27.3961661341853
"78","Chukotskij avtonomnyj okrug",76.66258,27.4509803921569
"79","Jaroslavskaja oblast'",54.98012,31.8396226415094
