"","X","price","totsp","livesp","kitsp","dist","metrdist","walk","brick","floor"
"1",1,730,134,102,10,9,10,1,1,1
"2",2,477,119,93,15,9,1,1,0,1
"3",3,350,80,44,14,10.5,10,1,1,0
"4",4,410,102,75,10,6.5,5,1,1,1
"5",5,50,63,47,7,12,20,0,1,0
"6",6,340,83,49,19,9,5,1,1,1
"7",7,285,90,61,6,14.5,10,1,0,1
"8",8,470,146,86,16,14.5,5,1,1,1
"9",9,135,105,58,21,13.5,15,1,1,1
"10",10,470,120,75,18,9,10,1,1,1
"11",11,450,125,80,20,9,3,1,0,1
"12",12,87,90,57,13,14.5,15,1,1,1
"13",13,142,125,66,19,10.5,10,1,0,1
"14",14,73,77,45,10,5,7,1,0,1
"15",15,126,119,67,17,15.5,10,1,0,0
"16",16,350,90,62,12,10.5,5,0,0,1
"17",17,270,82,49,13,8,15,1,0,1
"18",18,420,102,70,20,3,2,1,1,1
"19",19,52,86,46,9,12,10,0,0,1
"20",20,530,150,80,15,7.5,7,1,1,1
"21",21,127,119,68,15,15.5,10,1,0,1
"22",22,170,53,33,9,3,10,1,1,1
"23",23,116,77,45,18,6,7,0,0,1
"24",24,84,74,41,12,7,3,1,0,1
"25",25,350,113,85,20,9,10,1,0,1
"26",26,130,109,51,16,13.5,10,0,1,1
"27",27,223,63,38,7,7.5,3,1,1,1
"28",28,285,90,57,7,3,3,1,0,1
"29",29,175,112,78,16,7,10,1,1,1
"30",30,190,106,58,24,9,5,0,0,1
"31",31,56,68,43,7,13.5,10,0,1,1
"32",32,310,100,62,17,4.5,15,1,0,1
"33",33,100,77,50,6,3.5,3,1,1,1
"34",34,135,65,39,7,12,15,0,0,0
"35",35,260,107,58,14,13,1,1,0,1
"36",36,125,93,66,9,6,5,1,1,0
"37",37,220,148,85,14,14.5,7,0,1,1
"38",38,280,108,65,14,14.5,15,1,1,1
"39",39,299,100,65,11,9,10,1,0,1
"40",40,147,111,65,16,14.5,6,0,1,1
"41",41,174,130,71,16,14.5,4,0,0,1
"42",42,92,85,53,10,12,15,1,1,0
"43",43,207,134,77,21,15.5,5,1,0,1
"44",44,360,103,80,14,3,3,1,1,1
"45",45,260,80,46,12,9,2,1,1,1
"46",46,160,57,42,8,3.5,5,1,1,1
"47",47,250,100,50,15,12.7,5,1,0,1
"48",48,352,108,81,16,4.5,10,1,1,1
"49",49,210,71,45,15,9,1,1,1,1
"50",50,170,98,73,12,6,1,1,1,0
"51",51,210,71,45,6,9,1,1,1,1
"52",52,99,79,62,6,17,2,1,1,0
"53",53,260,70,45,8,8,7,1,1,0
"54",54,340,121,72,13,12.5,3,1,1,1
"55",55,82,62,32,7,6,5,1,1,0
"56",56,215,67,42,9,7.5,3,1,1,1
"57",57,72,64,43,7,6,7,1,0,1
