,country,cnt_code,year,va,ps,ge,rq,rl,cc,fh,risk,risk_status
0,Aruba,ABW,2016,1.27,1.28,0.9,1.35,1.29,1.29,,,
1,Andorra,ADO,2016,1.2,1.4,1.86,0.87,1.56,1.23,1.0,,
2,Afghanistan,AFG,2016,-1.09,-2.75,-1.22,-1.33,-1.62,-1.56,6.0,7.9,very high
3,Angola,AGO,2016,-1.17,-0.39,-1.04,-1.0,-1.08,-1.41,6.0,4.2,medium
4,Anguilla,AIA,2016,,1.31,1.33,0.87,-0.09,1.23,,,
5,Albania,ALB,2016,0.16,0.26,0.0,0.19,-0.35,-0.4,3.0,2.9,low
6,Netherlands Antilles (former),ANT,2016,,,,,,,,,
7,United Arab Emirates,ARE,2016,-1.12,0.44,1.41,0.97,0.89,1.28,,2.0,low
8,Argentina,ARG,2016,0.54,0.22,0.18,-0.47,-0.35,-0.31,2.0,2.4,low
9,Armenia,ARM,2016,-0.62,-0.6,-0.15,0.25,-0.11,-0.57,4.5,3.2,low
10,American Samoa,ASM,2016,,1.19,0.53,0.14,1.33,1.23,,,
11,Antigua and Barbuda,ATG,2016,0.65,1.01,0.27,0.34,0.51,0.69,2.0,2.3,low
12,Australia,AUS,2016,1.3,0.96,1.58,1.9,1.75,1.77,1.0,2.3,low
13,Austria,AUT,2016,1.29,0.82,1.51,1.44,1.78,1.54,1.0,1.7,very low
14,Azerbaijan,AZE,2016,-1.6,-0.87,-0.16,-0.28,-0.57,-0.87,6.5,3.8,medium
15,Burundi,BDI,2016,-1.51,-2.08,-1.4,-0.83,-1.39,-1.18,6.5,4.6,medium
16,Belgium,BEL,2016,1.35,0.48,1.33,1.34,1.4,1.6,1.0,1.2,very low
17,Benin,BEN,2016,0.5,0.05,-0.57,-0.53,-0.65,-0.48,2.0,3.5,medium
18,Burkina Faso,BFA,2016,0.04,-0.95,-0.55,-0.4,-0.45,-0.13,3.5,4.8,medium
19,Bangladesh,BGD,2016,-0.56,-1.24,-0.69,-0.8,-0.59,-0.8,4.0,5.9,high
20,Bulgaria,BGR,2016,0.44,0.03,0.29,0.66,-0.04,-0.16,2.0,2.5,low
21,Bahrain,BHR,2016,-1.45,-0.86,0.32,0.61,0.46,-0.06,6.5,0.8,very low
22,Bahamas. The,BHS,2016,0.94,0.9,0.72,0.26,0.23,1.13,1.0,,
23,Bosnia and Herzegovina,BIH,2016,-0.16,-0.38,-0.43,-0.17,-0.29,-0.47,3.5,4.0,medium
24,Belarus,BLR,2016,-1.39,0.12,-0.51,-0.94,-0.78,-0.29,6.5,1.9,very low
25,Belize,BLZ,2016,0.67,0.06,-0.68,-0.51,-0.86,-0.24,1.5,3.1,low
26,Bermuda,BMU,2016,,1.0,1.33,0.87,0.86,1.23,,,
27,Bolivia,BOL,2016,0.01,-0.21,-0.57,-0.92,-1.2,-0.71,3.0,3.2,low
28,Brazil,BRA,2016,0.47,-0.45,-0.18,-0.21,-0.08,-0.44,2.0,3.4,low
29,Barbados,BRB,2016,1.1,0.96,1.08,0.48,0.78,1.24,1.0,1.6,very low
30,Brunei Darussalam,BRN,2016,-0.95,1.26,1.07,0.59,0.62,0.66,5.5,1.1,very low
31,Bhutan,BTN,2016,-0.05,0.99,0.49,-0.67,0.47,1.14,3.5,2.9,low
32,South Sudan,SSD,2016,-1.67,-2.42,-2.26,-1.86,-1.69,-1.58,6.5,7.9,very high
33,Botswana,BWA,2016,0.42,1.09,0.51,0.53,0.52,0.93,2.5,3.1,low
34,Central African Republic,CAF,2016,-1.13,-1.74,-1.77,-1.43,-1.84,-1.28,7.0,8.3,very high
35,Canada,CAN,2016,1.38,1.24,1.8,1.74,1.84,1.98,1.0,2.7,low
36,Switzerland,CHE,2016,1.46,1.32,2.03,1.91,1.94,2.05,1.0,1.4,very low
37,Chile,CHL,2016,1.0,0.51,1.02,1.37,1.13,1.11,1.0,3.1,low
38,China,CHN,2016,-1.62,-0.52,0.36,-0.26,-0.22,-0.25,6.5,4.3,medium
39,Côte d'Ivoire,CIV,2016,-0.28,-0.9,-0.67,-0.36,-0.67,-0.54,4.0,4.6,medium
40,Cameroon,CMR,2016,-1.03,-0.95,-0.76,-0.79,-1.02,-1.14,6.0,4.6,medium
41,Congo. Rep.,COG,2016,-1.16,-0.57,-1.1,-1.17,-1.04,-1.21,5.5,3.5,medium
42,Cook Islands,COK,2016,,,,,,,,,
43,Colombia,COL,2016,0.1,-0.96,0.02,0.4,-0.32,-0.34,3.5,5.6,high
44,Comoros,COM,2016,-0.18,-0.02,-1.54,-1.05,-1.13,-0.64,3.5,2.7,low
45,Cape Verde,CPV,2016,1.02,0.88,0.1,-0.3,0.35,0.88,1.0,2.7,low
46,Costa Rica,CRI,2016,1.14,0.75,0.36,0.41,0.46,0.7,1.0,3.3,low
47,Cuba,CUB,2016,-1.63,0.62,-0.13,-1.34,-0.41,0.05,6.5,2.5,low
48,Cayman Islands,CYM,2016,0.47,1.17,1.18,0.79,0.78,0.53,,,
49,Cyprus,CYP,2016,1.08,0.57,0.98,1.05,0.73,0.82,1.0,2.8,low
50,Czech Republic,CZE,2016,1.05,0.99,1.06,0.99,1.09,0.51,1.0,1.6,very low
51,Germany,DEU,2016,1.33,0.76,1.74,1.82,1.61,1.83,1.0,1.9,very low
52,Djibouti,DJI,2016,-1.32,-0.63,-0.97,-0.7,-0.97,-0.65,5.5,4.4,medium
53,Dominica,DMA,2016,0.99,1.13,0.05,0.2,0.61,0.63,1.0,2.6,low
54,Denmark,DNK,2016,1.47,0.85,1.89,1.58,1.9,2.24,1.0,0.9,very low
55,Dominican Republic,DOM,2016,0.19,0.29,-0.25,-0.07,-0.29,-0.78,3.0,3.6,medium
56,Algeria,DZA,2016,-0.88,-1.14,-0.54,-1.17,-0.85,-0.69,5.5,4.8,medium
57,Ecuador,ECU,2016,-0.25,-0.1,-0.43,-1.02,-0.69,-0.67,3.0,4.3,medium
58,Egypt. Arab Rep.,EGY,2016,-1.23,-1.42,-0.66,-0.92,-0.41,-0.63,5.5,4.6,medium
59,Eritrea,ERI,2016,-2.1,-0.88,-1.69,-2.19,-1.53,-1.13,7.0,4.8,medium
60,Spain,ESP,2016,1.06,0.49,1.12,1.01,0.98,0.52,1.0,2.1,low
61,Estonia,EST,2016,1.2,0.69,1.12,1.7,1.24,1.21,1.0,1.1,very low
62,Ethiopia,ETH,2016,-1.45,-1.57,-0.64,-1.1,-0.39,-0.44,6.5,6.4,high
63,Finland,FIN,2016,1.49,0.96,1.85,1.82,2.02,2.28,1.0,0.6,very low
64,Fiji,FJI,2016,-0.03,0.83,-0.26,-0.38,-0.29,0.13,3.0,3.2,low
65,France,FRA,2016,1.08,-0.06,1.41,1.07,1.41,1.37,1.0,2.7,low
66,Micronesia. Fed. Sts.,FSM,2016,1.16,1.05,-0.35,-0.97,-0.06,0.65,1.0,4.0,medium
67,Gabon,GAB,2016,-0.96,-0.07,-0.79,-0.8,-0.58,-0.75,5.5,2.6,low
68,United Kingdom,GBR,2016,1.24,0.38,1.61,1.76,1.63,1.88,1.0,2.0,low
69,Georgia,GEO,2016,0.22,-0.29,0.51,1.01,0.37,0.67,3.0,3.9,medium
70,Ghana,GHA,2016,0.64,-0.16,-0.2,-0.23,0.0,-0.17,1.5,3.0,low
71,Guinea,GIN,2016,-0.73,-0.41,-1.01,-0.87,-1.29,-0.94,5.0,5.1,high
72,Gambia. The,GMB,2016,-1.28,-0.52,-0.84,-0.51,-0.75,-0.8,6.5,2.9,low
73,Guinea-Bissau,GNB,2016,-0.7,-0.5,-1.64,-1.24,-1.49,-1.56,5.0,4.0,medium
74,Equatorial Guinea,GNQ,2016,-1.93,-0.19,-1.41,-1.38,-1.44,-1.81,7.0,2.7,low
75,Greece,GRC,2016,0.65,-0.14,0.21,0.15,0.2,-0.05,2.0,2.6,low
76,Grenada,GRD,2016,0.86,1.01,-0.18,0.08,0.57,0.57,1.5,1.9,very low
77,Greenland,GRL,2016,1.27,1.96,0.85,1.33,1.74,1.17,,,
78,Guatemala,GTM,2016,-0.31,-0.54,-0.6,-0.2,-1.04,-0.74,4.0,5.1,high
79,French Guiana,GUF,2016,1.27,0.56,1.14,1.43,1.33,0.98,,,
80,Guam,GUM,2016,,0.67,0.27,0.14,1.09,1.23,,,
81,Guyana,GUY,2016,0.3,-0.03,-0.3,-0.42,-0.31,-0.32,2.5,2.8,low
82,Hong Kong SAR. China,HKG,2016,0.27,0.84,1.86,2.15,1.7,1.58,3.5,4.5,medium
83,Honduras,HND,2016,-0.43,-0.36,-0.73,-0.51,-1.11,-0.69,4.0,4.5,medium
84,Croatia,HRV,2016,0.52,0.68,0.49,0.36,0.44,0.19,1.5,2.4,low
85,Haiti,HTI,2016,-0.73,-0.67,-2.06,-1.24,-1.0,-1.35,5.0,6.0,high
86,Hungary,HUN,2016,0.37,0.71,0.45,0.6,0.51,0.08,2.0,2.0,low
87,Indonesia,IDN,2016,0.14,-0.38,0.01,-0.12,-0.36,-0.39,3.0,4.6,medium
88,India,IND,2016,0.41,-0.95,0.1,-0.31,-0.07,-0.3,2.5,5.6,high
89,Ireland,IRL,2016,1.29,0.88,1.35,1.74,1.54,1.63,1.0,1.5,very low
